farmer_username,product_name,price,description,is_organic,grade_score
farmerurvi14,Tomatoes,44.52,"Conventional Tomatoes, Grade B, from Karnataka, locally grown, Tempora sunt quaerat.",0,2
farmerdsrinivasan,Cabbage,43.15,"Organic Cabbage, Grade C, from Punjab, hand-picked",1,1
farmeroviya19,Bananas,77.67,"Organic Bananas, Grade B, from Karnataka, farm-fresh",1,2
farmeridika68,Onions,30.44,"Conventional Onions, Grade C, from Punjab, premium quality, Voluptatum voluptatem unde.",0,1
farmermegha62,Green Peas,37.64,"Conventional Green Peas, Grade C, from Punjab, premium quality, Quos doloribus vitae perspiciatis.",0,1
farmerharrison25,Cabbage,50.22,"Organic Cabbage, Grade B, from Gujarat, freshly harvested",1,2
farmerbadamiranbir,Carrots,97.75,"Organic Carrots, Grade A, from Karnataka, farm-fresh",1,3
farmerfalguni43,Onions,10.0,"Conventional Onions, Grade C, from Gujarat, farm-fresh",0,1
farmerlupadhyay,Potatoes,30.71,"Conventional Potatoes, Grade B, from Punjab, hand-picked, Exercitationem quis iusto illo harum.",0,2
farmeryaminiagrawal,Mangoes,179.1,"Conventional Mangoes, Grade C, from Uttar Pradesh, premium quality",0,1
farmergmodi,Mangoes,291.34,"Organic Mangoes, Grade A, from Punjab, freshly harvested",1,3
farmereshroff,Carrots,55.52,"Conventional Carrots, Grade B, from Gujarat, farm-fresh, Repudiandae omnis labore.",0,2
farmerkeerekansh,Bananas,95.48,"Organic Bananas, Grade A, from Karnataka, hand-picked",1,3
farmerrdhaliwal,Oranges,100.6,"Organic Oranges, Grade B, from Maharashtra, hand-picked",1,2
farmerjairajjha,Wheat,49.01,"Conventional Wheat, Grade A, from Tamil Nadu, freshly harvested",0,3
farmershivansh42,Okra,60.52,"Organic Okra, Grade B, from Tamil Nadu, premium quality",1,2
farmerrandhawaaditya,Mangoes,207.56,"Conventional Mangoes, Grade A, from Gujarat, farm-fresh",0,3
farmerupadhriti07,Cauliflower,36.99,"Organic Cauliflower, Grade C, from Punjab, hand-picked",1,1
farmerxiyengar,Mangoes,289.69,"Organic Mangoes, Grade A, from Gujarat, premium quality",1,3
farmerrsankar,Rice,111.09,"Organic Rice, Grade A, from Gujarat, premium quality",1,3
farmerdkalita,Bananas,77.34,"Organic Bananas, Grade A, from Punjab, freshly harvested, Nemo ut autem fuga mollitia.",1,3
farmergargdhruv,Apples,197.25,"Organic Apples, Grade B, from Uttar Pradesh, farm-fresh, Eaque et dignissimos minima.",1,2
farmeraarya,Rice,85.38,"Organic Rice, Grade B, from Karnataka, hand-picked",1,2
farmernaveennatarajan,Mangoes,217.09,"Conventional Mangoes, Grade A, from Punjab, farm-fresh, Voluptatibus fugiat temporibus cupiditate.",0,3
farmersonitristan,Rice,35.79,"Conventional Rice, Grade C, from Maharashtra, farm-fresh",0,1
farmertbhardwaj,Onions,23.32,"Conventional Onions, Grade B, from Gujarat, hand-picked, Id enim.",0,2
farmeraaravrama,Green Peas,59.96,"Conventional Green Peas, Grade B, from Tamil Nadu, locally grown",0,2
farmerujhaveri,Potatoes,37.35,"Organic Potatoes, Grade C, from Gujarat, locally grown",1,1
farmerkai73,Carrots,48.75,"Conventional Carrots, Grade B, from Maharashtra, locally grown",0,2
farmerdivyanatt,Spinach,28.52,"Conventional Spinach, Grade B, from Karnataka, hand-picked",0,2
farmerkai72,Carrots,84.64,"Conventional Carrots, Grade A, from Maharashtra, farm-fresh",0,3
farmeroliver55,Okra,49.15,"Organic Okra, Grade C, from Gujarat, locally grown",1,1
farmerloganmannan,Green Peas,37.8,"Conventional Green Peas, Grade C, from Karnataka, freshly harvested, Dolores dolorem distinctio perferendis.",0,1
farmerjyotibrar,Bananas,52.82,"Organic Bananas, Grade B, from Tamil Nadu, freshly harvested",1,2
farmerdroy,Rice,65.67,"Conventional Rice, Grade B, from Uttar Pradesh, locally grown",0,2
farmerodikamani,Cauliflower,39.29,"Conventional Cauliflower, Grade C, from Uttar Pradesh, premium quality",0,1
farmerjyotinori,Wheat,38.97,"Organic Wheat, Grade B, from Gujarat, farm-fresh",1,2
farmervincentdate,Wheat,57.47,"Organic Wheat, Grade A, from Karnataka, locally grown, Impedit repudiandae sint.",1,3
farmerdeepa17,Apples,187.7,"Organic Apples, Grade B, from Karnataka, premium quality, Ex quasi earum aspernatur.",1,2
farmerbalhaarbadami,Onions,54.08,"Organic Onions, Grade A, from Karnataka, freshly harvested, Quos optio praesentium necessitatibus vitae.",1,3
farmerdevibrinda,Carrots,80.0,"Organic Carrots, Grade A, from Karnataka, freshly harvested",1,3
farmersurnikita,Onions,37.39,"Organic Onions, Grade C, from Maharashtra, freshly harvested",1,1
farmerkalpit88,Spinach,18.84,"Organic Spinach, Grade B, from Karnataka, farm-fresh",1,2
farmerborravedant,Okra,79.41,"Organic Okra, Grade B, from Uttar Pradesh, farm-fresh, Ipsa necessitatibus nostrum deserunt.",1,2
farmerfbora,Spinach,10.0,"Conventional Spinach, Grade B, from Punjab, premium quality, Quae illum explicabo.",0,2
farmerikadakia,Okra,51.55,"Organic Okra, Grade B, from Tamil Nadu, locally grown",1,2
farmerpanditronith,Wheat,50.16,"Organic Wheat, Grade A, from Gujarat, locally grown",1,3
farmerdattahardik,Oranges,87.05,"Conventional Oranges, Grade A, from Karnataka, farm-fresh, Itaque harum.",0,3
farmerasarma,Bananas,87.04,"Organic Bananas, Grade A, from Karnataka, freshly harvested",1,3
farmerrehaandalal,Onions,20.52,"Conventional Onions, Grade C, from Gujarat, locally grown",0,1
farmerbrijeshthaman,Okra,68.15,"Organic Okra, Grade B, from Maharashtra, freshly harvested",1,2
farmeromya49,Carrots,69.87,"Organic Carrots, Grade C, from Maharashtra, hand-picked",1,1
farmerurmimohan,Oranges,98.08,"Conventional Oranges, Grade A, from Punjab, premium quality",0,3
farmerdalaja87,Spinach,33.32,"Organic Spinach, Grade B, from Maharashtra, freshly harvested",1,2
farmerraagini05,Tomatoes,41.93,"Conventional Tomatoes, Grade B, from Maharashtra, farm-fresh",0,2
farmeresavant,Oranges,120.79,"Organic Oranges, Grade A, from Gujarat, hand-picked, Eveniet officiis aliquam.",1,3
farmergodasamuel,Green Peas,67.77,"Organic Green Peas, Grade B, from Uttar Pradesh, premium quality, Nulla id delectus ducimus.",1,2
farmerunni93,Carrots,35.76,"Conventional Carrots, Grade B, from Gujarat, freshly harvested, Quidem tempora maiores odit eum.",0,2
farmergavinbhatt,Onions,21.65,"Conventional Onions, Grade B, from Karnataka, farm-fresh, Id quibusdam debitis.",0,2
farmermodizaid,Oranges,109.9,"Conventional Oranges, Grade A, from Gujarat, premium quality, Aliquid eligendi saepe odio quia.",0,3
farmermerchantmitesh,Onions,27.36,"Organic Onions, Grade B, from Gujarat, premium quality, Eligendi harum consequuntur iste.",1,2
farmersawhneyaahana,Tomatoes,71.85,"Organic Tomatoes, Grade A, from Tamil Nadu, freshly harvested, Est magni labore reprehenderit perspiciatis.",1,3
farmerbbhattacharyya,Spinach,10.0,"Organic Spinach, Grade C, from Gujarat, freshly harvested",1,1
farmerdhaliwalwazir,Carrots,38.82,"Conventional Carrots, Grade C, from Punjab, premium quality",0,1
farmerrachitsengupta,Green Peas,66.45,"Organic Green Peas, Grade C, from Punjab, farm-fresh",1,1
farmerdsama,Carrots,50.24,"Organic Carrots, Grade C, from Uttar Pradesh, freshly harvested",1,1
farmernikitadani,Apples,140.95,"Conventional Apples, Grade C, from Maharashtra, freshly harvested, Veritatis ab harum alias.",0,1
farmerqasimgade,Onions,35.34,"Conventional Onions, Grade B, from Uttar Pradesh, farm-fresh",0,2
